Episode,Steps,ActorLoss,CriticLoss,AgentAC_reward,Agent0_reward,Agent1_reward,Agent2_reward
0,330,0.0060960459522902966,7.056439062580466e-05,-8.0,-6.0,18.0,-5.0
1,395,0.006102660205215216,0.0008486367878504097,-3.0,18.0,-8.0,-8.0
2,317,0.006097322329878807,1.6288258848362602e-06,18.0,-7.0,-8.0,-8.0
3,259,0.006110481917858124,6.842819857411087e-05,-8.0,-7.0,-6.0,18.0
4,276,0.006085661239922047,0.0014882709365338087,-8.0,18.0,-5.0,-8.0
5,248,0.006100663915276527,5.6840290199033916e-05,-6.0,-6.0,18.0,-8.0
6,452,0.006108714733272791,0.0014717582380399108,-3.0,18.0,-6.0,-5.0
7,353,0.006097361911088228,0.0013459991896525025,-5.0,-6.0,-8.0,18.0
8,273,0.006100425496697426,0.0009073526598513126,-7.0,18.0,-4.0,-8.0
9,379,0.006097124889492989,0.0003587959217838943,-7.0,-8.0,18.0,-3.0
10,256,0.006097627338021994,0.000838177278637886,-6.0,-8.0,18.0,-8.0
11,347,0.006107705179601908,0.001469033770263195,18.0,-3.0,-5.0,-7.0
12,413,0.006095514632761478,0.00040105136577039957,-3.0,18.0,-6.0,-3.0
13,192,0.006097276695072651,0.0067833843640983105,-7.0,-5.0,-7.0,18.0
14,310,0.00609617168083787,3.0874129151925445e-05,-8.0,-5.0,-7.0,18.0
15,435,0.0061027901247143745,1.2409741430019494e-05,-3.0,-8.0,-5.0,18.0
16,433,0.006108833942562342,0.00024345518613699824,18.0,-5.0,-8.0,-5.0
17,296,0.006101092789322138,0.0027806228026747704,-3.0,18.0,-7.0,-8.0
18,338,0.00610026391223073,4.365082304502721e-07,-4.0,-7.0,18.0,-8.0
19,455,0.006101402919739485,0.00014157561236061156,-5.0,18.0,-6.0,-5.0
20,386,0.0060971882194280624,0.0037056216970086098,18.0,-5.0,-5.0,-4.0
21,328,0.006092218682169914,0.002265356481075287,-3.0,-4.0,-5.0,18.0
22,367,0.006088759284466505,0.00044115513446740806,-4.0,-7.0,-5.0,18.0
23,279,0.006090948823839426,0.0021834836807101965,-6.0,18.0,-8.0,-5.0
24,369,0.006095569580793381,0.0009808382019400597,-8.0,-5.0,-5.0,18.0
25,335,0.0060907877050340176,3.795834118136554e-07,-7.0,-7.0,18.0,-3.0
26,311,0.006101825274527073,0.002620764309540391,-3.0,-8.0,-6.0,18.0
27,291,0.006104052998125553,0.0018621468916535378,-8.0,-6.0,18.0,-5.0
28,225,0.006097103469073772,0.010808018036186695,-7.0,-8.0,-8.0,18.0
29,311,0.006097088567912579,0.08596072345972061,-6.0,-8.0,18.0,-6.0
30,164,0.0060864160768687725,2.0066167053300887e-05,-8.0,-8.0,18.0,-8.0
31,242,0.00608456414192915,0.0026182299479842186,-8.0,-7.0,18.0,-7.0
32,276,0.006100837606936693,0.0001988314324989915,-3.0,-7.0,18.0,-4.0
33,289,0.006093028467148542,4.834256469621323e-05,-8.0,18.0,-7.0,-8.0
34,503,0.0061025661416351795,0.002270452445372939,-3.0,18.0,-4.0,-8.0
35,434,0.006088293623179197,3.7890433304710314e-05,18.0,-8.0,-4.0,-3.0
36,445,0.006103267893195152,0.0004826090589631349,-3.0,-7.0,18.0,-6.0
37,435,0.006087803281843662,7.761765300529078e-05,18.0,-3.0,-6.0,-3.0
38,302,0.006096953060477972,0.10038524121046066,18.0,-8.0,-8.0,-7.0
39,470,0.006100814789533615,1.1575190228541032e-07,-3.0,-5.0,18.0,-7.0
40,292,0.006094631738960743,0.00041770515963435173,18.0,-8.0,-6.0,-5.0
41,475,0.006089301779866219,0.0005226213834248483,-5.0,-7.0,18.0,-7.0
42,304,0.006078689359128475,0.00039333838503807783,-4.0,-4.0,18.0,-8.0
43,399,0.006100825034081936,0.00047805390204302967,-7.0,-7.0,-5.0,18.0
44,310,0.0061077396385371685,2.7665621018968523e-05,-3.0,-8.0,-8.0,18.0
45,350,0.006096859462559223,0.13154259324073792,-8.0,18.0,-6.0,-5.0
46,452,0.0060913520865142345,0.0003658733330667019,-7.0,18.0,-5.0,-4.0
47,183,0.006096819881349802,0.24722175300121307,-8.0,-8.0,-8.0,18.0
48,398,0.006081530824303627,0.0022608430590480566,-7.0,-7.0,-3.0,18.0
49,240,0.006105952896177769,1.2555097782751545e-05,-8.0,18.0,-6.0,-7.0
50,349,0.0061009651981294155,0.00027545655029825866,-6.0,18.0,-7.0,-5.0
51,339,0.006107041612267494,2.24006889766315e-05,-7.0,-7.0,18.0,-3.0
52,202,0.0060934042558074,0.000770817743614316,-6.0,-8.0,18.0,-8.0
53,490,0.006090762093663216,0.0003476000274531543,-4.0,-5.0,18.0,-7.0
54,341,0.006098296493291855,0.0011944735888391733,18.0,-6.0,-8.0,-3.0
55,384,0.006096328608691692,0.00015065685147419572,-5.0,-5.0,-6.0,18.0
56,290,0.006096663419157267,0.3471709191799164,-8.0,-7.0,18.0,-3.0
57,320,0.006080442573875189,0.003802498569712043,-8.0,18.0,-6.0,-7.0
58,328,0.006096626166254282,0.10050804913043976,18.0,-5.0,-5.0,-8.0
59,371,0.006100326776504517,0.0005046597216278315,18.0,-5.0,-5.0,-8.0
60,412,0.0060965740121901035,0.31451651453971863,-6.0,-6.0,-7.0,18.0
61,407,0.006103253923356533,0.0013713387306779623,-6.0,-8.0,-5.0,18.0
62,404,0.006102064624428749,0.0005550730274990201,18.0,-5.0,-6.0,-6.0
63,311,0.0061090425588190556,0.00042049214243888855,-3.0,-6.0,-7.0,18.0
64,246,0.00610476266592741,5.3062999540998135e-06,-6.0,18.0,-6.0,-8.0
65,362,0.00610385974869132,0.00022102260845713317,18.0,-4.0,-5.0,-8.0
66,489,0.006093994248658419,0.0002643555635586381,-7.0,-6.0,18.0,-7.0
67,240,0.0061050886288285255,0.0010960367508232594,18.0,-8.0,-8.0,-8.0
68,461,0.006098058540374041,7.672568608541042e-05,18.0,-7.0,-4.0,-7.0
69,276,0.006106602493673563,0.0008809350547380745,-6.0,-7.0,-6.0,18.0
70,324,0.006105856969952583,0.0011753105791285634,-5.0,-3.0,-6.0,18.0
71,338,0.0061031547375023365,0.00010919265332631767,-6.0,-7.0,18.0,-8.0
72,294,0.006112031172960997,0.00187180214561522,-6.0,-8.0,18.0,-8.0
73,403,0.006096349563449621,0.5578861832618713,-3.0,18.0,-8.0,-8.0
74,442,0.006098463665693998,0.001810870016925037,-6.0,-3.0,18.0,-4.0
75,349,0.006101223174482584,0.0013341939775273204,-5.0,-7.0,18.0,-4.0
76,358,0.0060868957079946995,5.967010656604543e-05,-8.0,-7.0,18.0,-6.0
77,289,0.006101309321820736,0.004726123064756393,-5.0,-6.0,18.0,-8.0
78,321,0.006112208589911461,7.273278606589884e-05,-7.0,-8.0,-7.0,18.0
79,335,0.006082190666347742,0.0028543404769152403,18.0,-5.0,-6.0,-7.0
80,283,0.006112928502261639,0.0002812790626194328,-8.0,-8.0,18.0,-8.0
81,345,0.006110891234129667,0.003967898897826672,-5.0,18.0,-5.0,-8.0
82,234,0.006096248514950275,0.6058543920516968,18.0,-8.0,-6.0,-7.0
83,318,0.006096228491514921,0.4798363149166107,-4.0,-6.0,18.0,-8.0
84,341,0.006094177719205618,0.00018008002371061593,-5.0,-6.0,18.0,-4.0
85,451,0.006105444394052029,0.0002758316113613546,18.0,-3.0,-8.0,-5.0
86,298,0.0061180260963737965,0.00018971753888763487,18.0,-7.0,-8.0,-5.0
87,305,0.006096133962273598,0.9769381880760193,-6.0,-8.0,-5.0,18.0
88,484,0.006096105556935072,0.6981152296066284,18.0,-5.0,-8.0,-6.0
89,346,0.006093831732869148,0.0005617747083306313,-4.0,18.0,-8.0,-5.0
90,477,0.00609775772318244,0.004469903651624918,-8.0,18.0,-4.0,-8.0
91,211,0.006106337066739798,0.003888835199177265,-7.0,-7.0,-7.0,18.0
92,376,0.006089196540415287,0.006095360033214092,18.0,-4.0,-7.0,-3.0
93,339,0.006113156210631132,0.0013513657031580806,-4.0,-3.0,18.0,-7.0
94,372,0.006090671289712191,3.637483678176068e-05,-4.0,-7.0,18.0,-7.0
95,466,0.006100746337324381,0.0005266283405944705,-8.0,-5.0,18.0,-8.0
96,246,0.006102304905653,0.0006263883551582694,-8.0,-7.0,18.0,-7.0
97,424,0.006094861775636673,0.003055005334317684,-6.0,18.0,-8.0,-8.0
98,438,0.0060965558513998985,0.007276125252246857,-3.0,-5.0,18.0,-5.0
99,278,0.006100217811763287,0.0010921646608039737,-6.0,-4.0,18.0,-8.0
100,315,0.0060997917316854,0.011063414625823498,-6.0,-8.0,-4.0,18.0
101,395,0.00607855711132288,3.923285839846358e-05,-7.0,-6.0,-5.0,18.0
102,298,0.006105463951826096,0.00038301729364320636,-8.0,-7.0,18.0,-8.0
103,406,0.006102187093347311,0.0001923736126627773,-4.0,-6.0,-3.0,18.0
104,426,0.006095824763178825,1.1636074781417847,-3.0,18.0,-5.0,-7.0
105,290,0.006088610738515854,0.00018980292952619493,-6.0,-7.0,18.0,-8.0
106,372,0.006091381888836622,0.005938939284533262,-6.0,-8.0,-7.0,18.0
107,416,0.006114463787525892,0.002539284760132432,18.0,-4.0,-7.0,-8.0
108,480,0.006113400682806969,0.004484755918383598,-4.0,-4.0,18.0,-4.0
109,301,0.0061021531000733376,0.0076449220068752766,18.0,-6.0,-6.0,-7.0
110,317,0.006095699965953827,0.24320317804813385,-5.0,-7.0,-6.0,18.0
111,308,0.006097462493926287,0.007602829486131668,-6.0,18.0,-7.0,-3.0
112,392,0.006095639429986477,0.578713595867157,-8.0,-5.0,-3.0,18.0
113,267,0.0061155566945672035,0.0002634124830365181,-7.0,-8.0,-7.0,18.0
114,512,0.00607857434079051,0.006048524286597967,18.0,-3.0,-5.0,-7.0
115,385,0.006100963335484266,0.0018293058965355158,18.0,-6.0,-7.0,-3.0
116,368,0.006094822194427252,0.0015003288863226771,-8.0,-8.0,-8.0,18.0
117,259,0.006101936101913452,0.001517048804089427,-8.0,18.0,-4.0,-8.0
118,369,0.0061068423092365265,0.0007704272866249084,-5.0,-6.0,18.0,-5.0
119,272,0.006101066712290049,0.0012339259264990687,-8.0,-4.0,18.0,-8.0
120,519,0.006095337215811014,0.45313283801078796,-6.0,-3.0,-6.0,18.0
121,255,0.006092446856200695,0.0009426820324733853,-8.0,18.0,-8.0,-6.0
122,367,0.006095250137150288,0.33614373207092285,-3.0,-8.0,18.0,-7.0
123,382,0.00609147734940052,0.004251471720635891,-3.0,-6.0,18.0,-5.0
124,330,0.006089731585234404,0.00434575229883194,18.0,-8.0,-8.0,-5.0
125,290,0.006116246338933706,0.0013857233570888638,-8.0,-8.0,18.0,-3.0
126,507,0.0060931420885026455,0.005715364124625921,18.0,-6.0,-3.0,-5.0
127,394,0.0061039491556584835,0.00015542675100732595,-4.0,18.0,-4.0,-4.0
128,129,0.00609036348760128,0.013534242287278175,-8.0,-8.0,-8.0,18.0
129,451,0.00609495909884572,0.6530128717422485,-3.0,-3.0,18.0,-7.0
130,462,0.006091061048209667,0.0017116967355832458,-6.0,-5.0,18.0,-5.0
131,571,0.006092416122555733,0.007385540753602982,18.0,-3.0,-6.0,-3.0
132,369,0.006086586508899927,9.3465467216447e-05,-6.0,-8.0,-7.0,18.0
133,260,0.0061052399687469006,1.161333784693852e-06,18.0,-8.0,-6.0,-7.0
134,449,0.006109278649091721,0.005445889662951231,-7.0,-3.0,-3.0,18.0
135,325,0.006082899868488312,0.005491139367222786,-5.0,-7.0,-8.0,18.0
136,309,0.006091604009270668,0.00048450171016156673,-8.0,18.0,-6.0,-8.0
137,403,0.0061016809195280075,0.0010037802858278155,18.0,-4.0,-3.0,-5.0
