Time,Episode,Steps,ActorLoss,CriticLoss,AgentAC_reward,Agent0_reward,Agent1_reward,Agent2_reward
1596536400.1533298,0,344,1.9352610111236572,0.9991851449012756,-14.799999999999997,-5.0,18.0,-5.0
1596536404.052837,1,407,-494.1380615234375,0.9989575147628784,-17.39999999999999,-3.0,-8.0,18.0
1596536406.9792187,2,316,826.0087890625,1.0138078927993774,-14.8,18.0,-7.0,-8.0
1596536410.0373135,3,330,1249.8343505859375,0.9579845070838928,-14.200000000000003,-5.0,-5.0,18.0
1596536413.9061954,4,365,-772.2178344726562,1.0278990268707275,-13.600000000000003,18.0,-8.0,-3.0
1596536417.6798992,5,383,1106.2374267578125,1.008337378501892,-13.200000000000003,18.0,-7.0,-7.0
1596536421.952248,6,491,47.62841796875,1.009517788887024,5.70000000000002,-5.0,-7.0,-5.0
1596536425.754421,7,448,-1087.10546875,0.9914329051971436,6.700000000000001,-6.0,-5.0,-7.0
1596536429.4164164,8,451,-182.21786499023438,1.0233889818191528,-17.79999999999999,-5.0,18.0,-6.0
1596536431.0080647,9,200,1524.65966796875,1.012080430984497,-12.200000000000001,-6.0,-7.0,18.0
1596536434.8079627,10,465,545.521240234375,1.0001968145370483,-17.999999999999986,18.0,-4.0,-6.0
1596536437.7538972,11,364,585.2598266601562,1.0005245208740234,-14.8,18.0,-8.0,-6.0
1596536442.7390192,12,606,995.1494750976562,1.0034587383270264,-17.79999999999999,-4.0,18.0,-7.0
1596536444.8802857,13,269,1307.7940673828125,1.0163958072662354,-13.800000000000002,18.0,-7.0,-7.0
1596536447.6666107,14,341,43.832496643066406,0.9887849688529968,-13.900000000000002,18.0,-6.0,-8.0
1596536451.812263,15,508,1886.374755859375,1.0112411975860596,-17.199999999999992,-4.0,18.0,-5.0
1596536453.569343,16,215,2595.89697265625,0.9958430528640747,-12.900000000000002,-8.0,18.0,-7.0
1596536457.2123907,17,432,991.8554077148438,0.9979969263076782,-15.699999999999992,-7.0,-3.0,18.0
1596536459.6030006,18,300,-159.94448852539062,0.9980356097221375,-14.899999999999999,-8.0,-7.0,18.0
1596536462.680721,19,362,-573.2238159179688,0.9976484179496765,8.999999999999996,-3.0,-8.0,-4.0
1596536465.0767198,20,287,687.9210205078125,1.0034544467926025,-13.800000000000004,-8.0,-8.0,18.0
1596536467.6677592,21,305,562.123779296875,0.9991001486778259,-14.299999999999997,18.0,-5.0,-6.0
1596536470.6192172,22,350,-553.287353515625,0.9776691198348999,-11.800000000000002,-8.0,18.0,-5.0
1596536474.037562,23,414,1202.6326904296875,1.0151562690734863,-15.0,-4.0,18.0,-3.0
1596536476.9721065,24,337,-1270.9403076171875,0.9896368384361267,9.399999999999995,-7.0,-7.0,-8.0
1596536479.9538462,25,368,-555.9781494140625,0.9630027413368225,-13.600000000000003,-8.0,18.0,-4.0
1596536482.503151,26,334,-201.11062622070312,0.9782071113586426,-15.299999999999997,-5.0,18.0,-6.0
1596536485.2801833,27,328,-184.76502990722656,0.9815693497657776,-11.3,-4.0,-6.0,18.0
